userName,score,content,at
Nabila Livia,5,sukaa,2026-02-18 10:36:04
Antok Sumawan,5,ya bagus,2026-02-18 10:32:49
Khayyira Ira,5,aku suka banget sama tiktok ini,2026-02-18 10:32:45
Aksay Subang,1,akun gua entah kenapa di Ben padalah gua kaga ngapa ngapain,2026-02-18 10:31:33
kenzo zildane alvaro,1,tolong diperbaiki,2026-02-18 10:30:44
Okta oprandika,5,😁,2026-02-18 10:28:52
Muhammad Grandhika,3,"cukup lumayan sih sama aplikasi ini , hanya saja banyak bug , kadang suka keluar sendiri dari aplikasi . terimakasih",2026-02-18 10:23:05
Albarak Dompu,2,membagi inspirasi dan motivasi,2026-02-18 10:21:51
Salman Man,5,Sya kasi bintang 5 biyar lebih bagus lagi hai bosku kenpa titok ya sering elor terus adh aph dengan titok ya,2026-02-18 10:21:44
Glodak glodak dak,5,sangat bagus apk nya saya dapat uang juga dari tiktok,2026-02-18 10:21:20
Gisan karim,5,mantap,2026-02-18 10:19:58
Sakila Ahzahra,5,senang bgt,2026-02-18 10:19:36
Ruslan L,1,aplikasi jelek,2026-02-18 10:18:45
Nata N,3,bagus tapi akun ku di block...😭😭,2026-02-18 10:17:48
Nazilla Azahra,1,gaseru tiktok sampah saya gabisa join padahal tanggal lahir saya sudah benar,2026-02-18 10:14:50
Agungsuprapto Siap,5,Tiktok ini tidak ngeleg makanya saya download ini,2026-02-18 10:13:09
Supuri Yama,4,"apk nya bagus saya suka, tapi diorang lain mempunyai potongan harga, sedang kan diakun saya ko tidak ada ya, tolong update kan akun saya agar mempunyai potongan harga.....terimakasih",2026-02-18 10:11:07
Izzul,5,good,2026-02-18 10:10:20
Rahmat Prasetyo,5,tolong bug untuk postingan di atur ulang soalnya setiap muat postingan ngestag di 30% terus,2026-02-18 10:10:18
Inaya nayaa,5,o aj sih😹,2026-02-18 10:09:31
Chakim,1,tolong vidio seksual di larang sekarang banyak banget cwk bukak aurat,2026-02-18 10:09:21
An dien,1,nge-lag padahal jaring bagus terus kadang juga suka tiba tiba follow akun orang,2026-02-18 10:09:06
kph mbot,5,asikkkk,2026-02-18 10:06:47
mahesa putra12,1,"suka ngelag buka komentar,ubah privasi atau yg lain lain kocak padahal wifi lancar",2026-02-18 10:05:11
Lailatul Hsn,5,bagus banget apk nyaa,2026-02-18 10:01:40
Sutrisno Sutrisno,3,soalnya ngeleg,2026-02-18 10:01:12
riananair,2,"lag terus sampe muak banget. kalo sekali masih wajar lah ini udh keberapa kali. buat ga nyaman nonton, bentar bentar lag ga enak. jadi ga terlalu pengen buka apknya lagi",2026-02-18 09:58:00
Meuthea Raudhatunisyah,1,jelek,2026-02-18 09:57:08
Virgo Scream,5,masyarakat,2026-02-18 09:55:38
