userName,score,content,at,intent
Nabila Livia,5,sukaa,2026-02-18 10:36:04,Praise & Gratitude
Antok Sumawan,5,ya bagus,2026-02-18 10:32:49,Praise & Gratitude
Khayyira Ira,5,aku suka banget sama tiktok ini,2026-02-18 10:32:45,Praise & Gratitude
Aksay Subang,1,akun gua entah kenapa di Ben padalah gua kaga ngapa ngapain,2026-02-18 10:31:33,Account Issue
kenzo zildane alvaro,1,tolong diperbaiki,2026-02-18 10:30:44,General Request/Complaint
Okta oprandika,5,😁,2026-02-18 10:28:52,Praise & Gratitude
Muhammad Grandhika,3,"cukup lumayan sih sama aplikasi ini , hanya saja banyak bug , kadang suka keluar sendiri dari aplikasi . terimakasih",2026-02-18 10:23:05,Technical Bug/Crash
Albarak Dompu,2,membagi inspirasi dan motivasi,2026-02-18 10:21:51,Unlabeled/Noise
Salman Man,5,Sya kasi bintang 5 biyar lebih bagus lagi hai bosku kenpa titok ya sering elor terus adh aph dengan titok ya,2026-02-18 10:21:44,Technical Bug/Crash
Glodak glodak dak,5,sangat bagus apk nya saya dapat uang juga dari tiktok,2026-02-18 10:21:20,Monetization/Earning
Gisan karim,5,mantap,2026-02-18 10:19:58,Praise & Gratitude
Sakila Ahzahra,5,senang bgt,2026-02-18 10:19:36,Praise & Gratitude
Ruslan L,1,aplikasi jelek,2026-02-18 10:18:45,General Request/Complaint
Nata N,3,bagus tapi akun ku di block...😭😭,2026-02-18 10:17:48,Account Issue
Nazilla Azahra,1,gaseru tiktok sampah saya gabisa join padahal tanggal lahir saya sudah benar,2026-02-18 10:14:50,Account Issue
Agungsuprapto Siap,5,Tiktok ini tidak ngeleg makanya saya download ini,2026-02-18 10:13:09,Performance Issue
Supuri Yama,4,"apk nya bagus saya suka, tapi diorang lain mempunyai potongan harga, sedang kan diakun saya ko tidak ada ya, tolong update kan akun saya agar mempunyai potongan harga.....terimakasih",2026-02-18 10:11:07,Account Issue
Izzul,5,good,2026-02-18 10:10:20,Unlabeled/Noise
Rahmat Prasetyo,5,tolong bug untuk postingan di atur ulang soalnya setiap muat postingan ngestag di 30% terus,2026-02-18 10:10:18,Technical Bug/Crash
Inaya nayaa,5,o aj sih😹,2026-02-18 10:09:31,Unlabeled/Noise
Chakim,1,tolong vidio seksual di larang sekarang banyak banget cwk bukak aurat,2026-02-18 10:09:21,General Request/Complaint
An dien,1,nge-lag padahal jaring bagus terus kadang juga suka tiba tiba follow akun orang,2026-02-18 10:09:06,Account Issue
kph mbot,5,asikkkk,2026-02-18 10:06:47,Praise & Gratitude
mahesa putra12,1,"suka ngelag buka komentar,ubah privasi atau yg lain lain kocak padahal wifi lancar",2026-02-18 10:05:11,Performance Issue
Lailatul Hsn,5,bagus banget apk nyaa,2026-02-18 10:01:40,Praise & Gratitude
Sutrisno Sutrisno,3,soalnya ngeleg,2026-02-18 10:01:12,Performance Issue
riananair,2,"lag terus sampe muak banget. kalo sekali masih wajar lah ini udh keberapa kali. buat ga nyaman nonton, bentar bentar lag ga enak. jadi ga terlalu pengen buka apknya lagi",2026-02-18 09:58:00,Account Issue
Meuthea Raudhatunisyah,1,jelek,2026-02-18 09:57:08,General Request/Complaint
Virgo Scream,5,masyarakat,2026-02-18 09:55:38,Unlabeled/Noise
Dikin Dikin,4,bagus,2026-02-18 09:54:00,Praise & Gratitude
Sonia RahayU,5,bagusss sekaliii,2026-02-18 09:53:34,Praise & Gratitude
Dedy Hakim,5,knpaa hp saya ngelek saat bukak live tiktok,2026-02-18 09:52:10,Unlabeled/Noise
Mita aprilia,4,"kenapa akhir akhir ini tiktok ga bisa di buat buka komentar dll, padahal di buat scrol lancar lancar aja",2026-02-18 09:51:21,Feature Complaint/Request
ziiiziem nyctophile,3,"tolong fitur repostnya di perbaiki min, sya buat akun baru tidak ada fitur repostnya",2026-02-18 09:48:53,Account Issue
Nur Hayati,5,mantap,2026-02-18 09:48:49,Praise & Gratitude
Aira,5,"suka,menarik,pokok nya aku suka,tapi akun aku ke blokir ga tau karna apa ,dan aku BENCI ITUU!!!!!",2026-02-18 09:48:02,Account Issue
yarikaa11,1,woi assuuuuuuuu nyapo book blok tiktok ku wes wes ilang Kabeh,2026-02-18 09:47:33,Unlabeled/Noise
BAMUS FAMILY PASAR SUKARAJA,5,good,2026-02-18 09:46:17,Unlabeled/Noise
Aulia Jakiyah,5,sangat baguss,2026-02-18 09:45:32,Praise & Gratitude
Imas Mila,2,kok gbs posting ulang?,2026-02-18 09:45:11,Unlabeled/Noise
Lea Sherly,1,aplikasi nya lelet,2026-02-18 09:44:26,Performance Issue
Wayan Suardana,3,"mohon maaf ini kenapa saya tidak bisa ngeklaim hadiah dari menjawab pertanyaan dari sebuah lokasi, tolong diperbaiki",2026-02-18 09:44:18,Monetization/Earning
Shafira Rosandra,5,app nya bagus cuma suka diblokir tiba² sama tiktok nya jadi ya gabisa lagi,2026-02-18 09:41:40,Account Issue
Setan Gentayangan,5,apk bagus,2026-02-18 09:41:36,Praise & Gratitude
Muh Harun Yahya,5,seru,2026-02-18 09:41:14,Praise & Gratitude
apriliamj Aprilia,5,apk nya udah baguss bgttt tp tolong adain firur kembaliin draft plisss butuh bgttt🥲🥲🥲😭😭,2026-02-18 09:41:12,Feature Complaint/Request
Billy Syaputra,1,ngeleg gajelas,2026-02-18 09:39:37,Performance Issue
Aris Aris,5,mudah dipahami,2026-02-18 09:38:25,Unlabeled/Noise
Irul Kamalasari,1,"tik tok jahat banget masak aku gk bisa nonton,akun aku di blokir selamanya pula😓🙁 udh 4th di blokirr😔😔😔 aku pake tik tok lite juga gabisa padal tik tok seru lohh tapi knp kok punya ku di blokir selama nya.",2026-02-18 09:36:09,Account Issue
Ardo,5,seru,2026-02-18 09:33:34,Praise & Gratitude
Sumarni,5,maen,2026-02-18 09:31:39,Unlabeled/Noise
Dinamarini Laoli,5,aplikasi ini de sangat sangat bagusss,2026-02-18 09:31:12,Praise & Gratitude
Bagus Hadi,5,bagus buat denger arac songg,2026-02-18 09:30:57,Praise & Gratitude
Jau Hari,5,bagus bngt rekomen sih cocok untuk liat video,2026-02-18 09:30:38,Feature Complaint/Request
Davi Pasha,2,"tolong dong apknya ios & os nya jangan di apain ini, tiktok ga support device gua minnn, kalo nonton bolak balik fore close, keluar keluar sendiri",2026-02-18 09:30:07,Technical Bug/Crash
Muhammad Fauzie,5,sangat baguss,2026-02-18 09:29:40,Praise & Gratitude
Hasifah Azizah,1,bagus,2026-02-18 09:28:33,Praise & Gratitude
Sar noto,5,aplikasi tik tok nya mantap . kita bisa belanja pakai tik tok shop dn bisa cari hiburan di tik tok.,2026-02-18 09:27:00,Feature Complaint/Request
Selpi Mpi,5,makasi tiktok,2026-02-18 09:26:18,Unlabeled/Noise
Rizki Fadhilah,5,"apk bagus,",2026-02-18 09:25:52,Praise & Gratitude
Qibran Ahmad,5,ini sangat bagus,2026-02-18 09:25:23,Praise & Gratitude
Anka Ghozali,3,"gabisa update, beberapa efek ke kunci gabisa ke buka",2026-02-18 09:24:08,Feature Complaint/Request
Tri Wah,5,"Mantul pokoe,bisa mengepresikan keejaan dan bisnis",2026-02-18 09:23:27,Unlabeled/Noise
Afi Putri,5,agus,2026-02-18 09:22:38,Unlabeled/Noise
Andita azzahra,4,karna ndk bisa chat chtan,2026-02-18 09:22:35,Unlabeled/Noise
JALIL DIALOVA,5,fitur potongan harganya gak muncul,2026-02-18 09:21:28,Feature Complaint/Request
syahruddin halong,5,saya tidak dapat mengatifkan aktivitas di tiktok tolong supaya bisa membuka aktivitas tiktok,2026-02-18 09:20:28,General Request/Complaint
Juita Siti Zahra,4,gak ada potong harga di HP oppo a19,2026-02-18 09:19:06,Unlabeled/Noise
